  canonical student : qwen38_19b_h5120_l48_moe
                      loaded from /workspace/runs/pilot001/transferred

  loading teacher Qwen/Qwen3.8-27B @ dbdc473dea0d6a9763042881cc33d6058d1742d2
    quantization: 4bit

    teacher ready: {'source': 'online', 'top_k': 64, 'temperature': 2.0, 'teacher_model': 'Qwen/Qwen3.8-27B', 'teacher_revision': 'dbdc473dea0d6a9763042881cc33d6058d1742d2'}

  DISTILLING 128 steps (batch 1 x 1 accum @ 1536 tokens) ...

  device: cuda
  objective: logit_kd  alpha 1.0  T 2.0  tail bucket
  teacher  : {'source': 'online', 'top_k': 64, 'temperature': 2.0, 'teacher_model': 'Qwen/Qwen3.8-27B', 'teacher_revision': 'dbdc473dea0d6a9763042881cc33d6058d1742d2'}
  tokenizer vocabulary 248,077 against a student embedding of 248,320: 243 alignment padding row(s) that no token id reaches. Carried, not trimmed — trimming would change the student's geometry.
  corpus: /workspace/corpora/gutenberg/train.txt tokenised by Qwen2Tokenizer at /workspace/models/qwen3.8-27b-dbdc473
          5,519,074 bytes, 455 sequences of 1536 (433 train / 22 validation)
          sha256 e11ca38bb099fc89
          tokenizer Qwen2Tokenizer vocab 248,077 eos 248046
          700,000 tokens from 17,017 document(s), 1120 dropped in the tail

  gradient checkpointing: ON
  strategy: qlora (r=16, alpha=32)
  optimizer: adamw
  parameters: 13,031,508,864 total, 23,003,136 trainable (0.1765%)
  precision: bf16 (autocast)

  CHECKPOINTING
    full checkpoint : every 64 steps -> /workspace/runs/run002_logit_kd/checkpoints
    progress record : every 1 steps -> metrics.jsonl + progress/latest.json
    resume          : no (starting from step 0)
    persistent copy : off (local only)
                      NOTHING SURVIVES THIS RUNTIME. Set training.persistent_backup
                      to a mounted Drive path to keep checkpoints.
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
  step      1  loss   7.1902  kd 7.190  ce 10.960  agree 0.01  tail 0.705       137 tok/s  (run 137)    11.2s
  step      2  loss   8.1466  kd 8.147  ce 10.333  agree 0.00  tail 0.677       159 tok/s  (run 147)    20.9s
  step      3  loss  11.6603  kd 11.660  ce 9.920  agree 0.00  tail 0.571       168 tok/s  (run 154)    30.0s
  step      4  loss   5.8037  kd 5.804  ce 10.502  agree 0.00  tail 0.724       164 tok/s  (run 156)    39.4s
  step      5  loss   7.6925  kd 7.692  ce 10.089  agree 0.00  tail 0.678       167 tok/s  (run 158)    48.6s
  step      6  loss   7.9222  kd 7.922  ce 10.061  agree 0.00  tail 0.648       170 tok/s  (run 160)    57.6s
  step      7  loss   8.7138  kd 8.714  ce 10.054  agree 0.00  tail 0.643       165 tok/s  (run 161)    66.9s
  step      8  loss   5.7337  kd 5.734  ce 9.467  agree 0.01  tail 0.696       161 tok/s  (run 161)    76.4s
  step      9  loss   8.1496  kd 8.150  ce 9.401  agree 0.08  tail 0.618       164 tok/s  (run 161)    85.8s
  step     10  loss   4.4014  kd 4.401  ce 10.334  agree 0.08  tail 0.720       170 tok/s  (run 162)    94.8s
  step     11  loss   5.0803  kd 5.080  ce 10.906  agree 0.08  tail 0.692       165 tok/s  (run 162)   104.2s
  step     12  loss   4.6369  kd 4.637  ce 10.444  agree 0.09  tail 0.696       165 tok/s  (run 162)   113.5s
  step     13  loss   4.5368  kd 4.537  ce 9.485  agree 0.09  tail 0.694       166 tok/s  (run 163)   122.8s
  step     14  loss   3.5538  kd 3.554  ce 9.089  agree 0.09  tail 0.716       166 tok/s  (run 163)   132.0s
  step     15  loss   4.7083  kd 4.708  ce 9.336  agree 0.07  tail 0.688       169 tok/s  (run 163)   141.1s
  step     16  loss   3.2985  kd 3.299  ce 9.391  agree 0.06  tail 0.706       165 tok/s  (run 163)   150.4s
  step     17  loss   5.8747  kd 5.875  ce 9.480  agree 0.07  tail 0.653       165 tok/s  (run 164)   159.7s
  step     18  loss   5.3418  kd 5.342  ce 8.547  agree 0.06  tail 0.646       165 tok/s  (run 164)   168.9s
  step     19  loss   3.5533  kd 3.553  ce 9.287  agree 0.08  tail 0.712       170 tok/s  (run 164)   178.0s
  step     20  loss   5.9697  kd 5.970  ce 8.760  agree 0.07  tail 0.621       166 tok/s  (run 164)   187.2s
  step     21  loss   2.6868  kd 2.687  ce 8.400  agree 0.06  tail 0.724       166 tok/s  (run 164)   196.5s
  step     22  loss   2.9532  kd 2.953  ce 7.703  agree 0.08  tail 0.711       166 tok/s  (run 164)   205.8s
  step     23  loss   3.4047  kd 3.405  ce 7.646  agree 0.09  tail 0.678       170 tok/s  (run 164)   214.8s
  step     24  loss   3.1875  kd 3.188  ce 8.734  agree 0.10  tail 0.719       166 tok/s  (run 165)   224.0s
  step     25  loss   7.6610  kd 7.661  ce 8.510  agree 0.08  tail 0.565       164 tok/s  (run 164)   233.4s
  step     26  loss   2.8033  kd 2.803  ce 7.726  agree 0.11  tail 0.706       162 tok/s  (run 164)   242.8s
  step     27  loss   3.1252  kd 3.125  ce 7.884  agree 0.10  tail 0.698       165 tok/s  (run 164)   252.2s
  step     28  loss   5.3969  kd 5.397  ce 8.011  agree 0.08  tail 0.627       170 tok/s  (run 165)   261.2s
  step     29  loss   5.5233  kd 5.523  ce 7.590  agree 0.13  tail 0.613       166 tok/s  (run 165)   270.5s
  step     30  loss   2.7403  kd 2.740  ce 7.301  agree 0.17  tail 0.697       166 tok/s  (run 165)   279.7s
  step     31  loss   5.0930  kd 5.093  ce 7.433  agree 0.15  tail 0.609       166 tok/s  (run 165)   289.0s
  step     32  loss   2.4006  kd 2.401  ce 7.438  agree 0.15  tail 0.726       170 tok/s  (run 165)   298.0s
  step     32  validation   7.2044
  step     33  loss   2.4523  kd 2.452  ce 6.906  agree 0.16  tail 0.712        49 tok/s  (run 154)   329.2s
  step     34  loss   2.7090  kd 2.709  ce 6.760  agree 0.15  tail 0.692       166 tok/s  (run 154)   338.4s
  step     35  loss   2.5176  kd 2.518  ce 6.806  agree 0.16  tail 0.711       165 tok/s  (run 155)   347.7s
  step     36  loss   2.3490  kd 2.349  ce 6.510  agree 0.17  tail 0.710       166 tok/s  (run 155)   356.9s
  step     37  loss   4.4325  kd 4.433  ce 6.568  agree 0.16  tail 0.613       170 tok/s  (run 155)   366.0s
  step     38  loss   2.9445  kd 2.945  ce 6.872  agree 0.15  tail 0.682       167 tok/s  (run 156)   375.2s
  step     39  loss   5.5878  kd 5.588  ce 6.588  agree 0.14  tail 0.587       166 tok/s  (run 156)   384.5s
  step     40  loss   4.1311  kd 4.131  ce 6.929  agree 0.17  tail 0.639       166 tok/s  (run 156)   393.7s
  step     41  loss   3.7164  kd 3.716  ce 6.694  agree 0.15  tail 0.664       166 tok/s  (run 156)   403.0s
  step     42  loss   2.1349  kd 2.135  ce 6.453  agree 0.21  tail 0.713       169 tok/s  (run 157)   412.1s
  step     43  loss   3.7387  kd 3.739  ce 5.944  agree 0.18  tail 0.633       165 tok/s  (run 157)   421.4s
  step     44  loss   3.2514  kd 3.251  ce 5.872  agree 0.18  tail 0.661       166 tok/s  (run 157)   430.6s
  step     45  loss   1.8230  kd 1.823  ce 6.123  agree 0.22  tail 0.727       166 tok/s  (run 157)   439.9s
  step     46  loss   3.1415  kd 3.142  ce 5.484  agree 0.20  tail 0.648       170 tok/s  (run 157)   448.9s
  step     47  loss   5.9127  kd 5.913  ce 6.803  agree 0.19  tail 0.570       166 tok/s  (run 158)   458.2s
  step     48  loss   4.4101  kd 4.410  ce 6.399  agree 0.21  tail 0.606       162 tok/s  (run 158)   467.6s
  step     49  loss   1.8717  kd 1.872  ce 6.179  agree 0.24  tail 0.722       166 tok/s  (run 158)   476.9s
  step     50  loss   4.1297  kd 4.130  ce 5.958  agree 0.21  tail 0.609       167 tok/s  (run 158)   486.1s
  step     51  loss   1.9680  kd 1.968  ce 5.919  agree 0.25  tail 0.704       170 tok/s  (run 158)   495.1s
  step     52  loss   1.6185  kd 1.619  ce 5.698  agree 0.27  tail 0.721       165 tok/s  (run 158)   504.5s
  step     53  loss   5.3518  kd 5.352  ce 6.032  agree 0.19  tail 0.572       164 tok/s  (run 158)   513.8s
  step     54  loss   3.1649  kd 3.165  ce 5.560  agree 0.22  tail 0.643       166 tok/s  (run 159)   523.1s
  step     55  loss   1.7937  kd 1.794  ce 5.552  agree 0.30  tail 0.703       170 tok/s  (run 159)   532.1s
  step     56  loss   1.9868  kd 1.987  ce 5.941  agree 0.25  tail 0.721       165 tok/s  (run 159)   541.5s
  step     57  loss   3.9851  kd 3.985  ce 6.196  agree 0.23  tail 0.637       165 tok/s  (run 159)   550.7s
  step     58  loss   3.6823  kd 3.682  ce 5.675  agree 0.24  tail 0.627       162 tok/s  (run 159)   560.2s
  step     59  loss   1.6939  kd 1.694  ce 5.726  agree 0.30  tail 0.728       166 tok/s  (run 159)   569.5s
  step     60  loss   2.3799  kd 2.380  ce 5.120  agree 0.28  tail 0.649       165 tok/s  (run 159)   578.8s
  step     61  loss   1.3603  kd 1.360  ce 5.187  agree 0.31  tail 0.725       164 tok/s  (run 159)   588.1s
  step     62  loss   1.3822  kd 1.382  ce 5.141  agree 0.30  tail 0.726       165 tok/s  (run 159)   597.4s
  step     63  loss   2.6149  kd 2.615  ce 5.023  agree 0.25  tail 0.653       158 tok/s  (run 159)   607.1s
  step     64  loss   1.5994  kd 1.599  ce 5.240  agree 0.30  tail 0.706       168 tok/s  (run 160)   616.3s
  step     64  validation   5.3499
  checkpoint: step_000064 (periodic)
  step     65  loss   3.4032  kd 3.403  ce 5.055  agree 0.29  tail 0.630        45 tok/s  (run 154)   650.6s
  step     66  loss   1.6371  kd 1.637  ce 5.111  agree 0.28  tail 0.696       164 tok/s  (run 154)   660.0s
